user_id,chat_id,language,number_messages,handling_time,start_time,website,website_summary
User 1497,14225,English,18,1175.0,2018-06-21 10:02:27.964589,Website C,Website C
User 1391,14226,English,17,592.0,2018-06-21 10:27:56.319701,Website A,Website A
User 1478,14227,Italian,21,690.0,2018-06-21 10:12:12.560416,Website A,Website A
User 1291,14229,Spanish,35,1347.0,2018-06-21 10:45:12.045787,Website D,Website D
User 1529,14230,English,23,968.0,2018-06-21 10:36:10.968046,Website A,Website A
User 1435,14231,French,18,1108.0,2018-06-21 09:14:55.603393,Website A,Website A
User 1313,14232,German,10,633.0,2018-06-21 09:16:04.293141,Website D,Website D
User 1529,14233,English,11,544.0,2018-06-21 09:48:37.973162,Website A,Website A
User 1391,14234,English,11,527.0,2018-06-21 09:01:35.070437,Website A,Website A
User 1435,14236,French,22,699.0,2018-06-21 10:19:36.964638,Website A,Website A
User 1392,14238,English,13,797.0,2018-06-21 09:33:41.894302,Website A,Website A
User 1497,14239,English,56,3818.0,2018-06-21 10:53:58.453568,Website A,Website A
User 1497,14240,English,9,998.0,2018-06-21 10:58:29.015304,Website A,Website A
User 1497,14241,English,4,347.0,2018-06-21 10:54:51.728864,Website A,Website A
User 1392,14242,English,14,2575.0,2018-06-21 10:19:15.146169,Website A,Website A
User 1497,14243,English,22,2258.0,2018-06-21 10:34:23.204149,Website C,Website C
User 1478,14244,Italian,17,1046.0,2018-06-21 11:12:36.748760,Website D,Website D
User 1478,14245,Italian,22,1083.0,2018-06-21 11:00:24.005979,Website A,Website A
User 1478,14246,Italian,27,1554.0,2018-06-21 09:58:07.966818,Website D,Website D
User 1529,14247,English,28,793.0,2018-06-21 10:26:46.605622,Website C,Website C
User 1529,14250,English,35,2135.0,2018-06-21 11:27:37.352140,Website D,Website D
User 1435,14251,French,43,1679.0,2018-06-21 10:36:28.465570,Website D,Website D
User 1291,14252,Spanish,20,770.0,2018-06-21 10:28:07.671955,Website D,Website D
User 1478,14253,Italian,11,825.0,2018-06-21 09:40:49.437524,Website A,Website A
User 1385,14254,English,4,333.0,2018-06-21 09:33:44.840049,Website G,Other
User 1385,14255,English,26,1538.0,2018-06-21 11:02:16.639727,Website A,Website A
User 1391,14256,English,8,541.0,2018-06-21 11:04:26.255962,Website A,Website A
User 1478,14257,Italian,41,1276.0,2018-06-21 10:04:31.544027,Website D,Website D
User 1385,14258,English,38,2657.0,2018-06-21 11:24:30.279132,Website C,Website C
User 1529,14259,English,32,1523.0,2018-06-21 10:23:36.394661,Website A,Website A
User 1435,14260,French,13,620.0,2018-06-21 11:15:18.397248,Website A,Website A
User 1391,14261,English,4,359.0,2018-06-21 09:52:13.757764,Website G,Other
User 1435,14262,French,43,2548.0,2018-06-21 11:00:26.577348,Website A,Website A
User 1391,14264,English,13,943.0,2018-06-21 10:43:42.555370,Website B,Website B
User 1478,14265,Italian,5,459.0,2018-06-21 11:14:26.760193,Website D,Website D
User 1391,14266,English,20,1435.0,2018-06-21 11:10:29.489656,Website A,Website A
User 1392,14267,English,29,1079.0,2018-06-21 11:20:00.517645,Website A,Website A
User 1478,14268,Italian,12,754.0,2018-06-21 09:58:04.450514,Website D,Website D
User 1497,14269,English,9,885.0,2018-06-21 11:22:04.035246,Website G,Other
User 1385,14270,English,43,2520.0,2018-06-21 11:37:49.671632,Website A,Website A
User 1391,14271,English,9,535.0,2018-06-21 10:22:38.097666,Website A,Website A
User 1385,14272,English,19,1073.0,2018-06-21 10:50:10.351429,Website A,Website A
User 1291,14273,Spanish,4,293.0,2018-06-21 11:45:39.593489,Website A,Website A
User 1497,14274,English,12,1141.0,2018-06-21 11:03:20.816754,Website A,Website A
User 1391,14275,English,33,921.0,2018-06-21 09:57:19.279458,Website A,Website A
User 1478,14277,Italian,19,872.0,2018-06-21 11:51:52.886520,Website A,Website A
User 1478,14278,Italian,20,1618.0,2018-06-21 11:59:07.448199,Website F,Other
User 1391,14279,English,5,318.0,2018-06-21 10:43:09.082273,Website B,Website B
User 1497,14281,English,11,785.0,2018-06-21 11:03:26.864889,Website E,Other
User 1291,14282,Spanish,18,882.0,2018-06-21 11:35:19.347709,Website A,Website A
User 1391,14283,English,13,594.0,2018-06-21 11:00:34.964966,Website E,Other
User 1391,14287,English,10,508.0,2018-06-21 10:56:42.854571,Website C,Website C
User 1391,14288,English,33,1942.0,2018-06-21 12:06:36.729542,Website E,Other
User 1391,14289,English,15,1124.0,2018-06-21 11:01:14.737504,Website A,Website A
User 1385,14291,English,19,2511.0,2018-06-21 11:15:41.510750,Website A,Website A
User 1391,14292,English,8,588.0,2018-06-21 10:15:51.762524,Website G,Other
User 1435,14293,French,28,2179.0,2018-06-21 11:29:03.368434,Website A,Website A
User 1385,14294,English,31,2211.0,2018-06-21 12:13:53.756408,Website A,Website A
User 1478,14295,Italian,6,312.0,2018-06-21 11:20:17.593073,Website A,Website A
User 1391,14296,English,11,906.0,2018-06-21 10:38:11.735467,Website A,Website A
User 1478,14297,Italian,25,1475.0,2018-06-21 11:43:13.431902,Website A,Website A
